pix64,count,pix64_group
36343,16,363
19457,16,194
44378,16,443
49106,16,491
18788,16,187
46280,16,462
16531,16,165
27269,16,272
21961,16,219
4708,16,47
26377,16,263
45966,16,459
35171,16,351
19202,16,192
30199,16,301
34242,16,342
33124,16,331
27327,16,273
26421,16,264
24717,16,247
28275,16,282
32602,16,326
46687,16,466
47740,16,477
33271,16,332
34737,16,347
33955,16,339
18385,16,183
27512,16,275
19911,16,199
2214,16,22
4150,16,41
4838,16,48
4839,16,48
33614,16,336
17601,16,176
31647,16,316
33767,16,337
9374,16,93
10465,16,104
650,16,6
34934,16,349
24696,16,246
2117,16,21
8835,16,88
30870,16,308
49120,16,491
32440,16,324
28512,16,285
2142,16,21
46794,16,467
26103,16,261
26968,16,269
37531,16,375
8717,16,87
2569,16,25
12576,16,125
9269,16,92
46312,16,463
8217,16,82
16784,16,167
33963,16,339
25439,16,254
47573,16,475
27884,16,278
47436,16,474
18824,16,188
16595,16,165
26756,16,267
27199,16,271
40432,16,404
17230,16,172
31469,16,314
19663,16,196
19462,16,194
27213,15,272
26046,15,260
17509,15,175
9231,15,92
31533,15,315
34541,15,345
34794,15,347
17086,15,170
35933,15,359
25676,15,256
26389,15,263
33498,15,334
45912,15,459
5152,15,51
27216,15,272
27312,15,273
20136,15,201
48389,15,483
20025,15,200
26035,15,260
10336,15,103
5128,15,51
27340,15,273
18124,15,181
28496,15,284
8245,15,82
27965,15,279
6196,15,61
12796,15,127
17183,15,171
8641,15,86
33997,15,339
31374,15,313
36826,15,368
44660,15,446
35939,15,359
12644,15,126
43806,15,438
35100,15,351
8875,15,88
37560,15,375
35971,15,359
27785,15,277
25167,15,251
30833,15,308
28005,15,280
43941,15,439
26973,15,269
18722,15,187
33756,15,337
27518,15,275
12653,15,126
28579,15,285
44286,15,442
12406,15,124
33804,15,338
4103,15,41
24785,15,247
21064,15,210
23182,15,231
26212,15,262
28234,15,282
26056,15,260
19595,15,195
20184,15,201
44749,15,447
27481,15,274
18667,15,186
